Country (or area),Subregion,Region,Total wealth(USD bn),% of world,Wealth to GDPratio[3](2017–19)
Moldova *,Eastern Europe,Europe,65,0.016%,3.426
Cambodia *,South-eastern Asia,Asia,64,0.015%,1.956
Malta *,Southern Europe,Europe,58,0.014%,3.336
Angola *,Middle Africa,Africa,55,0.013%,0.552
Trinidad and Tobago *,Caribbean,Americas,51,0.012%,1.689
Uganda *,Eastern Africa,Africa,49,0.012%,0.853
Armenia *,Western Asia,Asia,47,0.011%,3.072
Georgia *,Western Asia,Asia,46,0.011%,2.117
Cameroon *,Middle Africa,Africa,46,0.011%,0.846
Jamaica *,Caribbean,Americas,45,0.011%,2.552
Libya *,Northern Africa,Africa,44,0.011%,1.298
Papua New Guinea *,Melanesia,Oceania,43,0.010%,1.208
Senegal *,Western Africa,Africa,41,0.0098%,1.400
Afghanistan *,Southern Asia,Asia,41,0.0098%,
Montenegro *,Southern Europe,Europe,36,0.0086%,4.691
Laos *,South-eastern Asia,Asia,35,0.0084%,1.486
Namibia *,Southern Africa,Africa,31,0.0074%,1.941
Madagascar *,Eastern Africa,Africa,30,0.0072%,1.488
Rwanda *,Eastern Africa,Africa,28,0.0067%,1.620
Botswana *,Southern Africa,Africa,27,0.0065%,1.14
Zambia *,Eastern Africa,Africa,27,0.0065%,0.858
Tajikistan *,Central Asia,Asia,25,0.0060%,2.218
Kyrgyzstan *,Central Asia,Asia,25,0.0060%,2.484
Gabon *,Middle Africa,Africa,23,0.0055%,1.007
Mali *,Western Africa,Africa,22,0.0053%,0.926
Sudan *,Northern Africa,Africa,22,0.0053%,0.360
Malawi *,Eastern Africa,Africa,22,0.0053%,1.565
Equatorial Guinea *,Middle Africa,Africa,20,0.0048%,1.179
Syria *,Western Asia,Asia,18,0.0043%,
Guinea *,Western Africa,Africa,18,0.0043%,1.139
Bahamas *,Caribbean,Americas,16,0.0038%,2.125
Burkina Faso *,Western Africa,Africa,16,0.0038%,0.813
Mozambique *,Eastern Africa,Africa,16,0.0038%,0.788
Barbados *,Caribbean,Americas,16,0.0038%,2.688
Mongolia *,Eastern Asia,Asia,15,0.0036%,0.857
Benin *,Western Africa,Africa,15,0.0036%,0.834
Liberia *,Western Africa,Africa,14,0.0033%,1.628
Niger *,Western Africa,Africa,13,0.0031%,1.637
Brunei *,South-eastern Asia,Asia,12,0.0029%,2.537
Fiji *,Melanesia,Oceania,12,0.0029%,0.707
Chad *,Middle Africa,Africa,10,0.0024%,1.241
Maldives *,Southern Asia,Asia,10,0.0024%,
Congo *,Middle Africa,Africa,6,0.0014%,
Mauritania *,Western Africa,Africa,6,0.0014%,0.789
Guyana *,South America,Americas,6,0.0014%,0.966
Togo *,Western Africa,Africa,6,0.0014%,0.911
Eritrea *,Eastern Africa,Africa,5,0.0012%,0.774
Haiti *,Caribbean,Americas,5,0.0012%,0.349
Seychelles *,Eastern Africa,Africa,4,0.00096%,2.348
Burundi *,Eastern Africa,Africa,4,0.00096%,0.996
Sierra Leone *,Western Africa,Africa,4,0.00096%,0.728
Timor-Leste *,South-eastern Asia,Asia,4,0.00096%,1.487
Belize *,Central America,Americas,3,0.00072%,1.064
Gambia *,Western Africa,Africa,3,0.00072%,1.095
Central African Republic *,Middle Africa,Africa,2,0.00048%,0.901
Comoros *,Eastern Africa,Africa,2,0.00048%,1.716
Djibouti *,Eastern Africa,Africa,2,0.00048%,0.602
Guinea-Bissau *,Western Africa,Africa,2,0.00048%,1.493
Lesotho *,Southern Africa,Africa,2,0.00048%,0.842
Suriname *,South America,Americas,2,0.00048%,0.541
São Tomé and Príncipe *,Middle Africa,Africa,0,0%,
Saint Vincent and the Grenadines *,Caribbean,Americas,,,
Vanuatu *,Melanesia,Oceania,,,
North Korea *,Eastern Asia,Asia,,,
Cayman Islands *,Caribbean,Americas,,,
Aruba *,Caribbean,Americas,,,
Cuba *,Caribbean,Americas,,,
Dominica *,Caribbean,Americas,,,
Antigua and Barbuda *,Caribbean,Americas,,,
Tonga *,Polynesia,Oceania,,,
Saint Lucia *,Caribbean,Americas,,,
Grenada *,Caribbean,Americas,,,
Samoa *,Polynesia,Oceania,,,
Solomon Islands *,Melanesia,Oceania,,,
Somalia *,Eastern Africa,Africa,,,
Uzbekistan *,Central Asia,Asia,,,
